Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label,year,roa,margin_proxy,cost_to_income,loans_to_assets,deposits_to_assets,loan_to_deposit,cost_of_risk,log_assets,loan_growth
National Bank of Greece,2019,16,3502,43648,1365,100,355,-342,247,1433,-5757,34811,1186,-255,NA,NA,64248,5277,1681,NA,NA,NA,2019,-0.003968995143817706,0.01845971859046196,NA,0.5418223135350517,0.6793674511268833,0.7975394061583577,-0.009824480767573468,11.070505873868298,-0.1209343434343434
National Bank of Greece,2020,NA,9175,48504,910,108,364,-1106,206,1375,-2707,29445,1169,38,NA,NA,77485,5079,2522,NA,NA,NA,2020,4.904175001613216e-4,0.015086790991804865,NA,0.3800090340065819,0.6259792217848615,0.6070633349826818,-0.037561555442350146,11.257839648221434,-0.15414667777426672
National Bank of Greece,2021,16.9,15827,53493,912,134,421,-78,149,1361,-1655,31747,1212,867,915,34700,83958,5772,1903,7,NPE,NPE ratio,2021,0.010326591867362253,0.014435789323233045,0.48081975827640566,0.3781295409609567,0.6371399985707139,0.5934795206849495,-0.0024569250637855545,11.338071952783768,0.0781796569876041
National Bank of Greece,2022,16.6,14226,55192,1731,117,464,-280,152,1521,-1493,36555,1369,1120,805,36400,78113,6475,2355,5.2,NPE,NPE ratio,2022,0.014338202347880635,0.017525891977007668,0.34182590233545646,0.4679758810953362,0.7065661285573465,0.6623242498912886,-0.007659690876761045,11.265911775241015,0.15144738085488396
National Bank of Greece,2023,17.8,9015,57126,2323,80,462,-325,522,2785,-1083,34907,2263,1106,928,37700,74584,7652,2760,3.7,NPE,NPE ratio,2023,0.01482891773034431,0.030341628231256034,0.336231884057971,0.4680226321999356,0.7659283492438056,0.6110527605643665,-0.00931045349070387,11.21968128597653,-0.04508275201750789
National Bank of Greece,2024,18.3,5380,57593,3618,84,511,-225,696,3052,-895,37034,2356,1158,1053,37400,74957,8452,2885,2.6,NPE,NPE ratio,2024,0.01544885734487773,0.03143135397627973,0.36499133448873483,0.49406993342849903,0.7683471857198126,0.6430295348393034,-0.00607549819085165,11.224669894766711,0.06093333715300653
Nordea,2015,16.5,35500,193342,201937,1010,4035,-479,3439,8549,-2664,343582,5110,3662,4957,143294,646868,31032,10140,1.62,Impaired,"Impaired loans ratio, basis points",2015,0.005661124062405313,0.007899602391832647,0.4888560157790927,0.5311470037163687,0.2988894179337979,1.7770686141655718,-0.0013941358976896346,13.379897534121282,NA
Nordea,2016,18.4,32099,174028,191750,860,4098,-502,3020,7747,-2426,320113,4727,3766,4800,133157,615659,32410,9927,1.63,Impaired,"Impaired loans ratio, basis points",2016,0.00611702257256046,0.007677951593333322,0.4835297673012995,0.5199517914949672,0.2826694647524035,1.8394338842025422,-0.001568196230706032,13.330448517809852,-0.06830683796007941
Nordea,2017,19.5,43081,172434,179114,863,4232,-369,2909,7575,-2333,312490,4666,3048,5102,125779,581612,33316,9469,1.86,Impaired,"Impaired loans ratio, basis points",2017,0.005240607140155292,0.008022530484240353,0.5388108564790368,0.5372825870167741,0.2964760011829192,1.812229606690096,-0.0011808377868091778,13.27355883772587,-0.02381346586986466
Nordea,2018,15.5,41578,164958,190422,853,3846,-173,2929,7253,2163,236497,4324,3081,4879,155886,551408,32901,9005,1.82,Impaired,"Impaired loans ratio, basis points",2018,0.005587514145605432,0.007841743318921741,0.5418101054969462,0.42889657023474453,0.2991577924150538,1.4336800882648917,-7.315103362833355e-4,13.220230285990343,-0.24318538193222183
