Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label,year,roa,margin_proxy,cost_to_income,loans_to_assets,deposits_to_assets,loan_to_deposit,cost_of_risk,log_assets,loan_growth
Nordea,2019,16.3,35509,168725,193726,920,3931,-536,3334,NA,2328,324909,4318,1542,5986,150215,554848,31528,8635,1.78,Impaired,"Impaired loans ratio, basis points",2019,0.0027791395120825885,0.0077823115519926175,0.6932252460914882,0.5855819972316743,0.3040922919430186,1.9256719514002074,-0.0016496926831820603,13.2264494813444,0.37383983729180503
Nordea,2020,17.1,32955,183431,174309,897,3856,-908,2013,NA,-2448,332209,4515,2265,4643,155440,552160,33740,8466,1.51,Stage3,"Impairment rate, (stage 3) gross, basis points",2020,0.0041020718632280495,0.008176977687626775,0.5484290101582802,0.6016535062300782,0.3322062445667922,1.8110842769215671,-0.002733219148186834,13.22159313833183,0.02246782945378545
Nordea,2021,17,47495,205801,175792,977,4472,-118,1167,NA,-2206,347253,4925,3831,4649,151906,570353,33503,9620,1.28,Stage3,"Impairment rate, (stage 3) gross, bp",2021,0.006716892871607583,0.008635003234838776,0.4832640332640333,0.6088387367121765,0.36083092400671163,1.687324162661989,-3.3980987925230307e-4,13.254010746370325,0.04528474544639072
Nordea,2022,16.4,61815,217464,179803,942,4278,-112,3474,NA,-1673,347387,5664,3595,4903,145299,594844,31404,9796,0.81,Stage3,"Impairment rate, (stage 3) gross, bp",2022,0.006043601347580206,0.009521824209372542,0.5005104124132299,0.5839968126096926,0.3655815642420534,1.5974460140529008,-3.2240699853477533e-4,13.296054465277354,3.858857950831407e-4
Nordea,2023,17,50622,210062,182548,902,3923,-187,12278,NA,1825,346460,7451,4934,5238,138719,584702,31225,11743,0.89,Stage3,"Impairment ratio (stage 3), gross, bp",2023,0.008438486613693813,0.012743243566808391,0.44605296772545344,0.5925411577179487,0.3592633512455918,1.6493225809522902,-5.397448478900883e-4,13.278857594715463,-0.002668493639658376
Nordea,2024,15.8,46562,232435,188136,907,4064,-198,13486,NA,-1605,359183,7594,5059,5330,155850,623355,32436,12084,1.04,Stage3,"Impairment ratio (stage 3), gross, bp",2024,0.008115760682115327,0.012182464245895195,0.44107911287653095,0.5762093830963095,0.3728774133519423,1.545305139071138,-5.51251033595688e-4,13.342871458916855,0.0367228540091209
OP Financial Group,2015,19.5,8581,51941,27706,174,878,78,1460,2486,-494,75686,1026,853,1520,41824,125145,9324,2807,0.42,Other,"Ratio of receivables more than 90 days past due to loan and guarantee portfolio, %",2015,0.0068160933317351876,0.00819848975188781,0.5415033843961524,0.604786447720644,0.4150465460066323,1.4571533085616373,0.0010305736860185502,11.737228344004285,NA
OP Financial Group,2016,20.1,9361,54822,28287,169,1028,77,1141,2200,-506,79111,1058,915,1567,44101,133747,10237,2989,3.2,Other,"Doubtful receivables / loan and guarantee portfolio, %",2016,0.006841274944484736,0.007910457804661038,0.5242556038808966,0.5914973793804721,0.4098933060180789,1.4430520593922147,9.733159737583901e-4,11.803705234600157,0.045252754802737716
OP Financial Group,2017,20.1,12937,57991,26841,145,1073,48,882,1975,-491,82731,1094,854,1773,49216,137242,11121,3115,3.4,Other,"Doubtful receivables / loan and guarantee portfolio, %",2017,0.00622258492298276,0.007971320732720305,0.5691813804173355,0.6028110928141531,0.42254557642704127,1.4266179234708833,5.801936396272255e-4,11.829501069876985,0.04575849123383602
OP Financial Group,2018,20.5,12350,61327,30456,125,1012,-46,805,1974,-525,87606,1175,794,1681,52126,140382,11835,2943,1,Other,"Ratio of non-performing receivables to loan and guarantee portfolio, %",2018,0.005655995782935134,0.008370018948298214,0.5711858647638464,0.6240543659443518,0.43685800173811457,1.4285062044450243,-5.250781909914846e-4,11.852122557226663,0.058925916524640076
OP Financial Group,2019,19.5,11988,63998,34369,139,1075,-87,60,1310,-554,92017,1241,670,1903,55482,147024,12570,3181,1.1,Other,"Ratio of non-performing receivables to loan and guarantee portfolio, %",2019,0.004557079116334748,0.008440798781151377,0.598239547312166,0.6258638045489172,0.43528947654804656,1.437810556579893,-9.454774661203908e-4,11.898351117740667,0.05035043261877048
OP Financial Group,2020,18.9,21827,70940,34706,123,1054,-225,58,1344,-662,94306,1284,641,1839,59720,160207,13112,3103,1.1,Other,"Non-performing receivables / loan and guarantee portfolio, %",2020,0.004001073611015748,0.008014631071051827,0.5926522719948437,0.5886509328556181,0.44280212475110325,1.3293769382576825,-0.0023858503170529977,11.984222008042554,0.024875838160340003
OP Financial Group,2021,18.2,32846,75612,34895,121,1155,-158,34,1441,-715,97662,1409,904,2007,65731,174110,14184,3616,2.4,NPE,"Ratio of non-performing exposures to exposures, %**",2021,0.005192119924185859,0.008092585147320659,0.5550331858407079,0.5609212566768135,0.43427718109241287,1.2916203777178226,-0.001617824742479163,12.067442562360645,0.035586282951243886
OP Financial Group,2022,17.4,35004,77121,37438,121,1126,-115,211,1843,-634,99180,1618,1023,1981,72327,175516,14335,3426,2.34,NPE,"Ratio of non-performing exposures to exposures, %",2022,0.005828528453246428,0.009218532783335991,0.5782253356684179,0.5650766881651815,0.4393958385560291,1.2860310421286032,-0.0011595079653155878,12.075485485823668,0.015543404804325034
OP Financial Group,2023,19.2,19755,76656,37511,130,1038,-269,2609,5480,-882,99517,2871,1642,1716,73495,160391,16262,4775,2.94,NPE,"Ratio of non-performing exposures to exposures, % **",2023,0.010237482152988635,0.017900006858240176,0.3593717277486911,0.6204649886839038,0.47793205354415147,1.2982284491755374,-0.0027030557593175036,11.985369863114656,0.0033978624722725836
OP Financial Group,2024,21.5,18110,77653,33198,128,946,-96,3316,6112,-820,98917,2796,1987,2262,71756,161168,18110,4844,2.64,NPE,"Ratio of non-performing exposures to exposures, %",2024,0.012328750124094113,0.017348356993944207,0.4669694467382329,0.6137508686587908,0.48181400774347266,1.2738335930356843,-9.705106301242456e-4,11.990202578182462,-0.006029120652752851
OTP Bank,2015,13.3,1878960,7984579,239376,43559,257431,318683,251998,802428,-1013620,6373674,550430,63171,465516,6576263,10718848,1233659,754912,16.6,Other,ratio of the more than 90 days past due to the above 360 days past due loans compared to the gross loan portfolio,2015,0.005893450490201932,0.051351600470498325,0.616649357805943,0.5946230415805878,0.7449101806462785,0.7982479727484693,0.04999989017323447,16.187514245145834,NA
OTP Bank,2016,13.5,1625357,8540583,146900,49244,272235,93473,169962,689691,-944273,6639754,519729,202452,456098,6730463,11307665,1420649,736315,13.9,Other,ratio of the more than 90 days past due to the above 360 days past due loans compared to the gross loan portfolio,2016,0.017903961604805237,0.04596253956939828,0.6194332588633941,0.5871905472968999,0.7552914770644514,0.777435685596639,0.014077780592473757,16.24099137231257,0.04174672253397338
OTP Bank,2017,12.7,1198045,10233471,250320,54413,315606,-40848,112759,666515,-738796,7726630,553756,281339,499450,8389925,13190228,1640055,804945,9.01,Other,ratio of the more than 90 days past due to the above 360 days past due loans compared to the gross loan portfolio,2017,0.021329350789084163,0.04198229173900557,0.6204771754591929,0.5857844155536963,0.7758373092565193,0.7550351195601179,-0.005286651489718027,16.394986810366692,0.16369220907883042
OTP Bank,2018,13.6,1547272,11285085,417966,60405,338081,-39287,133235,757958,-685364,8751957,624723,318322,573281,9464463,14590288,1826657,881726,3.74,Other,NA,2018,0.021817389759544156,0.042817729163399654,0.6501804415430644,0.599848131853189,0.7734655409132432,0.7755331040927029,-0.00448893887389986,16.49586665985178,0.1327004140226722
OTP Bank,2019,13.9,1784378,15171308,393167,72903,413348,-49120,197095,894144,-706907,12553167,697049,412582,641217,14262200,20121767,2291288,1077728,4.23,Other,NA,2019,0.020504262871148444,0.034641540178852084,0.5949710873244455,0.6238600715334791,0.753974936694178,0.8274281294664902,-0.0039129567861241705,16.817312722401223,0.43432685969549434
OTP Bank,2020,15.4,2432312,17890863,464213,88896,486529,-200315,195216,977887,-829543,12504385,782671,259636,707667,15046888,23335841,2537112,1169920,9.01,Other,NA,2020,0.011126061409143129,0.0335394383257925,0.6048849493982494,0.5358446262982337,0.7666688764291804,0.698925758919511,-0.016019580331219807,16.965500976999454,-0.0038860313098678656
OTP Bank,2021,17.5,2556035,21068644,436325,111939,554113,-47645,243149,1117459,-851994,14345177,874310,456428,747612,16691313,27553384,3036766,1312092,3.74,Other,NA,2021,0.01656522480142548,0.03173149258181863,0.5697862649875162,0.5206321299772108,0.7646481463039168,0.680878038472718,-0.0033213253485823145,17.131635917236032,0.14721171812928024
OTP Bank,2022,16.1,4221392,25188805,870682,139216,739576,-210458,912709,2004023,-966360,17060818,1091314,347081,975148,20405325,32804210,3322312,1661699,5.48,Stage3,ratio of Stage 3 + POCI loans compared to gross loans,2022,0.010580379774425296,0.03326749828756736,0.5868379291315695,0.5200801360557075,0.7678528152331667,0.6773174829056003,-0.012335750841489546,17.306067418776284,0.18930690084897517
OTP Bank,2023,16.6,7125049,28332431,2095548,169316,861309,-79281,1561558,2948264,-894031,18570564,1386706,990459,1074337,23700275,39609144,4094793,2243109,4.58,Stage3,Derived from Stage 3 + POCI loans / Loans at amortized cost gross total,2023,0.025005816838657255,0.03500974421461873,0.478949975235265,0.4688453757041556,0.7153002599601749,0.6554525448239863,-0.00426917566962425,17.494570558660218,0.08849200548297276
OTP Bank,2024,18.9,6079012,31658189,2593124,203332,1045987,-109142,1336782,3082122,-917734,21208115,1745340,1076140,1212774,25576775,43419128,5120013,2643575,4.23,Stage3,Derived from Stage 3 + POCI loans / Loans at amortized cost gross total,2024,0.024784928891248115,0.040197490838599984,0.45876284955032487,0.4884509656665606,0.7291300046375874,0.6699092926635822,-0.0051462376547845015,17.586410639301654,0.14202858890015402
PKO Bank Polski SA Group,2015,13.27,13743.864,195758.461,9432.973,747.702,3598.33,-1475.918,2629.168,9657.763,-8287.209,198700.917,7028.595,2601.253,6036.27,NA,266939.919,30264.913,10664.823,6.6,Impaired,share of impaired loans,2015,0.009744713378743478,0.02633025074080434,0.5659981417413116,0.744365690018809,0.7333427751583307,1.0150310540089502,-0.007427836883108094,12.49477888958912,NA
PKO Bank Polski SA Group,2016,14.51,13325,205066,14493,886,3579,-1622,2209,9964,-8002,208609,7754,2876,5590,NA,285572,32568,11790,5.9,Impaired,share of impaired loans,2016,0.010071015365652095,0.027152521955934057,0.4741306191687871,0.7304952866527531,0.7180886081268472,1.0172773643607425,-0.007775311707548572,12.562249465425722,0.049864304350442534
PKO Bank Polski SA Group,2017,NA,17810,218800,23932,949,3918,-1620,2313,10919,-7823,213452,8606,3109,5784,NA,296912,36256,12563,5.5,Impaired,Share of impaired loans,2017,0.010471116020908552,0.028985019130247345,0.4603995860861259,0.7189066120601391,0.7369186829767742,0.9755575868372943,-0.007589528324869291,12.60119107758412,0.023215681010886335
PKO Bank Polski SA Group,2018,17.54,22925,242816,28627,1029,4042,-1373,2241,11594,-8204,223115,9353,3742,5905,NA,324255,39101,13347,4.9,Impaired,Share of impaired exposures,2018,0.011540300072473825,0.028844582196111086,0.4424215179441073,0.6880849948343125,0.748842731800589,0.9188644899841856,-0.0061537772000986035,12.689285522260263,0.04527013098963706
PKO Bank Polski SA Group,2019,17.16,14677,258199,31148,1083,4130,-1147,2481,12760,-7221,230365,10279,4032,5611,NA,348044,41578,14670,4.1,Impaired,Share of impaired loans,2019,0.011584742159037363,0.02953362218570066,0.38248125426039536,0.6618847042327981,0.7418573513693671,0.8921994275733058,-0.0049790549779697435,12.760084187545765,0.032494453532931455
PKO Bank Polski SA Group,2020,16.99,7474,282356,32098,1049,4953,-2174,1455,11801,-8824,225414,10346,-2561,5983,NA,376966,39911,14447,4.38,Stage3,"Note: This calculation is based on the amortized cost portfolio, as Stage 3 data for fair value loans was not separately reported as a ""gross"" figure for 2020",2020,-0.006793716144161542,0.02744544600839333,0.4141344223714266,0.5979690476064154,0.7490224582588351,0.7983326013968182,-0.009644476385672585,12.839910276686783,-0.021491980118507614
PKO Bank Polski SA Group,2021,17.03,11587,322296,23872,1165,5596,-1309,686,10568,-8688,238430,9882,4873,6174,NA,418086,37693,15090,3.91,Stage3,9 332 (Stage 3) ÷ 238 430 (Total Gross) = 0.03913,2021,0.011655496715986664,0.023636285357558014,0.40914512922465207,0.5702893663026267,0.7708844591782552,0.7397857869784298,-0.0054900809461896575,12.943442431971782,0.057742642426823476
PKO Bank Polski SA Group,2022,16.65,15917,339582,15510,1564,6515,-1501,8327,20140,-9748,237912,11813,3333,7850,NA,430683,35435,17272,3.74,Stage3,Calculated: Stage 3 / Total Gross,2022,0.007738870584629531,0.027428526317500344,0.45449282075034736,0.552406294188533,0.7884731925801576,0.7006025054331502,-0.006309055449073607,12.973127599634008,-0.0021725454011659595
PKO Bank Polski SA Group,2023,17.77,17813,399193,17201,1675,6301,-1265,12899,31217,-10206,255984,18318,5505,7635,NA,501516,45227,24132,3.52,Stage3,Calculated: Stage 3 / Total Gross (amortized cost),2023,0.010976718589237431,0.036525255425549734,0.31638488314271507,0.5104204053310363,0.7959726110433166,0.6412537293990626,-0.0049417151071942,13.125390790162335,0.0759608594774539
PKO Bank Polski SA Group,2024,17.39,23494,419778,23457,1667,6787,-966,9986,32139,-9185,273173,22153,9304,8487,NA,525225,52370,28736,3.82,Stage3,Calculated: (Stage 3 + POCI) / Total Gross,2024,0.017714312913513258,0.04217811414155838,0.29534381959910916,0.5201066209719644,0.7992346137369699,0.6507558757247879,-0.0035362206367393558,13.171582021191828,0.06714872804550276
SEB,2015,18.8,101429,883785,639444,5463,22340,-883,18788,37726,-4878,1416806,18938,16581,22187,570840,2495964,142798,44148,0.6,NPL,NPL per cent of lending,2015,0.006643124660451833,0.007587449177952887,0.5025595723475582,0.5676387960723792,0.35408563585051706,1.6031116165130659,-6.232328208660889e-4,14.730185585290519,NA
SEB,2016,18.8,151078,962028,668880,5872,22500,-993,16464,35202,-4789,1508335,18738,10618,27761,609959,2620646,140976,43771,0.5,NPL,NPL per cent of lending,2016,0.004051672755496164,0.0071501454221592695,0.634232711155788,0.5755584691713417,0.36709574662125294,1.567870165941116,-6.583418139869459e-4,14.77893141023065,0.06460235205102172
SEB,2017,19.4,177222,1004721,614033,5472,23196,-808,16580,36472,-4476,1523995,19893,16244,21936,610819,2559596,143925,45609,0.54,NPL,NPL per cent of lending,2017,0.006346314027682494,0.007771929632645152,0.4809577057159771,0.5954045091491001,0.39253108693715727,1.5168340265606073,-5.30185466487751e-4,14.755359991502042,0.010382308969824283
SEB,2018,17.6,209115,1111390,680670,5654,24018,-1166,18277,39299,-5813,1631237,21022,23134,21940,716498,2567516,148789,45868,0.5,Stage3,"Stage 3 loans/Total loans, gross, %",2018,0.00901026517458898,0.008187680232567197,0.47832911833958314,0.6353366444454485,0.4328658516636313,1.4677448960310961,-7.147949684809748e-4,14.758449452508374,0.07036899727361301
SEB,2019,17.6,146691,1161485,858173,5467,24176,-2294,18772,41722,-6912,1706885,22950,20177,22945,745637,2856648,155700,50134,0.67,Stage3,"Stage 3 loans/Total loans, gross, %",2019,0.007063173341622769,0.008033891470002604,0.4576734351936809,0.5975132392930456,0.40659017141768955,1.4695712815920998,-0.001343968691505286,14.8651594674621,0.0463746224490984
SEB,2020,21,323776,1371227,749502,4870,22933,-6118,12435,37578,-9512,1718057,25143,15746,22747,725560,3040432,171943,49717,0.87,Stage3,"Stage 3 loans / Total loans – gross, %",2020,0.005178869318570519,0.00826954853783936,0.45752961763581873,0.5650700295221205,0.45099742405026655,1.252934051036043,-0.00356099943133435,14.927510168549565,0.006545256417392009
SEB,2021,19.7,439344,1597449,730106,4987,26129,-510,6904,33225,-8786,1844932,26321,25423,23245,787490,3304230,193228,54614,0.53,Stage3,"Stage 3 loans / Total loans – gross, %",2021,0.0076940769861662175,0.007965849834908587,0.42562346651041855,0.5583545939598635,0.4834557521722156,1.1549238817639875,-2.7643295254242434e-4,15.01071402379096,0.07384795731457094
SEB,2022,19,377966,1701687,795149,6064,27637,-2007,22707,56150,-8613,2058321,33443,26989,25044,859320,3532810,204523,64589,0.33,Stage3,"Stage 3 loans / Total loans – gross, %",2022,0.007639527741373014,0.009466402099178841,0.3877440431033148,0.5826299744396104,0.4816808716007937,1.2095767317961528,-9.750665712490909e-4,15.077604146236794,0.115662257470736
SEB,2023,19.1,312373,1611651,867838,6293,27962,-962,87868,135394,-7999,2043860,47526,38116,27449,891992,3608218,221775,80193,0.37,Stage3,"Stage 3 loans / Total loans – gross, %",2023,0.010563663281985734,0.013171598833551632,0.3422867332560198,0.5664458189610495,0.4466612050602264,1.2681777878709473,-4.706780307848874e-4,15.09872457962539,-0.007025629141421574
SEB,2024,17.6,271894,1680565,898841,7181,31285,886,104152,149403,-6480,2128343,45251,35865,30949,947860,3759028,231148,81887,0.47,Stage3,"Stage 3 loans / Total loans – gross, %",2024,0.009541030287616905,0.012037952364281405,0.37794765957966464,0.5661950376533508,0.4470743500713482,1.266444915846754,4.162862846824971e-4,15.139670971308144,0.04133502294677727
Societe Generale,2015,NA,78565,379631,106412,3466,10144,-3065,16125,25431,NA,420036,9306,4395,16893,NA,1334391,62675,25639,NA,NA,NA,2015,0.0032936373221941696,0.006973967899963354,0.6588790514450642,0.31477730290447103,0.28449757230077244,1.10643229873219,-0.007296993591025531,14.103985565959558,NA
Societe Generale,2016,11.5,96186,421002,102202,3417,10116,-2091,15193,24660,NA,440874,9467,4338,16817,355478,1382241,65706,25298,5,Other,Gross doubtful loans ratio,2016,0.0031383818017263272,0.006849022710222023,0.6647561072021504,0.3189559563057383,0.30457930274098366,1.0472016760015392,-0.0047428516991249205,14.139216653055813,0.04961003342570636
Societe Generale,2017,11.4,114404,410633,103235,3417,10504,-1349,13263,23679,NA,437403,10416,2806,17838,353306,1275128,64037,23954,4.4,Other,Gross doubtful loans ratio,2017,0.002200563394420011,0.008168591702166371,0.7446772981547967,0.3430267392763707,0.322032768475008,1.0651920327884024,-0.0030841123631982405,14.058557123692571,-0.007872997727241815
Societe Generale,2018,10.9,96585,416818,116339,3600,9124,-1005,11659,22678,-11435,458327,11019,4556,17931,376049,1309428,65809,25205,3.6,Other,Gross doubtful loans ratio,2018,0.0034793818369547617,0.008415124772037867,0.7114064669708391,0.35002077242887736,0.31832067131602504,1.0995854305716164,-0.002192757572650095,14.085100958600425,0.04783689183659012
Societe Generale,2019,12.7,102311,418612,125168,3811,9068,-1278,12527,23712,-10727,460587,11185,3946,17727,345010,1356303,68570,24671,3.2,Other,GROSS DOUBTFUL LOANS RATIO,2019,0.0029093793938375126,0.008246682341630151,0.7185359328766568,0.33959004735667475,0.3086419480012947,1.100271850783064,-0.002774720085456168,14.120273173848382,0.004930977228049027
Societe Generale,2020,13.4,168179,456059,138957,3612,8529,-3306,10248,20721,-11601,459933,10473,196,16714,352400,1461952,66979,22113,3.3,Other,gross doubtful outstandings ratio,2020,1.340673291599177e-4,0.00716370988924397,0.7558449780672003,0.31460198419647156,0.3119521023946067,1.0084945149640727,-0.0071880034700706405,14.195283087015541,-0.001419927179881375
Societe Generale,2021,13.6,179969,509133,135324,3842,9162,-700,9872,20590,-11357,507917,10718,6338,17590,363371,1464449,70863,25798,2.9,Other,GROUP GROSS NON PERFORMING LOANS RATIO*,2021,0.004327907629422397,0.007318793621355199,0.6818358012249012,0.34683147040286144,0.34766181683349845,0.9976116260387757,-0.0013781779306461489,14.196989620471477,0.1043282391130882
Societe Generale,2022,13.49,207013,530764,133176,4161,9335,-1647,17552,28838,-10634,517479,11286,2947,18630,360464,1486818,72782,28059,2.8,Other,GROUP GROSS NON PERFORMING LOANS RATIO*,2022,0.001982085231682694,0.007590707134296195,0.66395808831391,0.3480446160861652,0.35697980519471784,0.9749700431830343,-0.0031827378502316036,14.21214882386948,0.0188259105326265
Societe Generale,2023,13.1,223048,541677,160506,4475,10063,-1025,42777,53087,-10070,495666,10310,3449,18524,388800,1554045,76247,25104,2.9,Other,Group Gross non performing loans ratio (2),2023,0.0022193694519785463,0.0066342995215711255,0.7378903760356915,0.31895215389515746,0.3485594046504445,0.9150582358121168,-0.0020679247719230286,14.256371767019425,-0.04215243517128231
Societe Generale,2024,13.3,201680,531675,162200,4591,10817,-1530,45127,55019,-8445,463143,9892,5129,18472,390000,1573545,79588,26788,2.81,NPL,The gross non-performing loan ratio,2024,0.0032595191113060002,0.006286442395991217,0.689562490667463,0.2943309533569107,0.3378835686300678,0.8711017068697983,-0.0033035153289588744,14.26884159374306,-0.06561474864122208
SpareBank 1 SMN,2015,13.6,3270,64090,35154,135,1245,169,2159,4031,-559,93974,1872,1406,1931,89465,131914,13904,3876,0.47,Other,Total problem loans (defaulted and doubtful) [as %] of gross loans,2015,0.010658459299240414,0.01419106387494883,0.4981940144478844,0.7123883742438255,0.48584683960762315,1.4662817912310813,0.001798369761849022,11.789905474088767,NA
SpareBank 1 SMN,2016,14.9,315,67168,36317,133,1251,516,1714,3597,-971,102325,1883,1647,2003,88788,138080,15299,4506,1.23,Other,Total problem loans (defaulted and doubtful) [as %] of gross outstanding loans,2016,0.011927867902665121,0.01363702201622248,0.44451841988459834,0.741055909617613,0.48644264194669756,1.523418889947594,0.005042755924749572,11.835588506317254,0.08886500521420815
SpareBank 1 SMN,2017,14.9,3313,76476,42194,168,1390,341,1600,3825,-1112,112071,2225,1828,2369,93474,153254,17510,4989,0.99,Other,Total problem loans (defaulted and doubtful) [as %] of gross outstanding loans,2017,0.011927910527620813,0.014518381249429052,0.4748446582481459,0.7312761820246128,0.4990147076095893,1.4654401380825357,0.003042713993807497,11.939851954599755,0.09524554116784745
SpareBank 1 SMN,2018,14.6,NA,80615,45537,168,1387,263,1655,4057,-744,120473,2403,2090,2624,101168,160704,18686,5337,1,Other,Overall problem loans (defaulted and doubtful) [as %] of gross outstanding loans,2018,0.013005276782158503,0.014952956989247312,0.49166198238710884,0.7496577558741537,0.5016365491835922,1.4944241146188675,0.0021830617648767774,11.987319442517256,0.0749703313078316
SpareBank 1 SMN,2019,17.2,761,85917,47882,193,1437,299,1939,4626,-998,125717,2687,2563,2797,92036,166662,20420,6178,1.26,Other,Overall problem loans (defaulted and doubtful) [as %] of gross outstanding loans,2019,0.01537843059605669,0.01612245142864,0.45273551311103916,0.7543231210473893,0.5155164344601649,1.4632377759931097,0.002378357740003341,12.023723088344212,0.0435284254563264
SpareBank 1 SMN,2020,18.3,2764,97529,51098,207,1510,951,1439,4197,-1517,134648,2759,1978,2952,93096,187912,21310,6281,1.23,Other,Overall problem loans (defaulted and doubtful) [as %] of gross outstanding loans,2020,0.010526203754949125,0.014682404529779897,0.469988855277822,0.7165481714845247,0.519014219421857,1.3805944898440463,0.007062860198443348,12.143729047119672,0.07104051162531722
SpareBank 1 SMN,2021,18,1252,111286,40332,207,1583,161,1120,3916,-1410,147301,2796,2902,2993,98664,198845,23241,6655,1.68,Stage3,"Problem loans (Stage 3) [as %] of gross outstanding loans, including loans sold",2021,0.014594281978425407,0.014061203449923306,0.44973703981968444,0.7407830219517715,0.5596620483291006,1.32362561328469,0.001093000047521741,12.200280905738364,0.09397094646782733
SpareBank 1 SMN,2022,18.9,1171,122010,47474,186,1446,-7,2588,5927,1121,152629,3339,2785,2443,104716,223312,25009,5760,0.97,Stage3,Problem loans (Stage 3) [as %] of gross outstanding loans; Loans and advances to customers at Stage 3 in percentage of gross loans,2022,0.012471340545962599,0.014952174536075087,0.42413194444444446,0.6834787203553773,0.5463656229848821,1.250954839767232,-4.586284388943124e-5,12.316325175748425,0.03617083387078157
SpareBank 1 SMN,2023,18.8,1172,132888,45830,199,1370,14,6631,11262,-943,169862,4632,3688,3017,114633,232717,28597,7515,0.88,Stage3,"Problem loans (Stage 3) [as %] of gross utstanding loans, including loans sold",2023,0.015847574521844127,0.01990400357515781,0.4014637391882901,0.7299079998453056,0.5710283305474031,1.2782343025705858,8.241984669908514e-5,12.357578402058149,0.11290776982093842
SpareBank 1 SMN,2024,18.3,654,140897,56074,224,1611,176,8187,13560,848,180102,5373,4591,3300,122622,247699,30523,9123,0.89,Stage3,"Loans in Stage 3 [as %] of gross outstanding loans, including loans sold to the captive mortgage companies",2024,0.018534592388342302,0.021691649946103942,0.36172311739559354,0.7271002305217219,0.5688234510434035,1.278252908152764,9.772240175011937e-4,12.419969578327597,0.060284230728473664
SpareBank 1 SR-Bank,2015,13.3,931,89444,71979,78,1605,420,3159,5752,833,155190,2593,1746,1863,119124,192049,16914,4429,0.55,Other,Non-performing commitments as % of gross loans,2015,0.009091429791355332,0.013501762571010524,0.4206367125762023,0.8080750225202943,0.4657353071351582,1.735052099637762,0.0027063599458728013,12.165505826783145,NA
SpareBank 1 SR-Bank,2016,14.7,1079,85914,79183,72,1511,778,2692,5563,1266,157638,2871,1755,2032,116651,193408,18288,4968,0.68,Other,Non-performing commitments as a % of gross loans,2016,0.009074081733951026,0.014844267041694243,0.40901771336553944,0.8150541859695566,0.44421120119126406,1.834834834834835,0.004935358225808498,12.172557226192357,0.01577421225594433
SpareBank 1 SR-Bank,2017,15.1,207,95384,90497,79,1597,543,2585,5747,1317,172554,3162,2086,2167,120186,216618,19889,5320,0.32,Other,Non-performing commitments as a % of gross loans,2017,0.009629855321349103,0.0145971248926682,0.40733082706766915,0.7965820014957206,0.44033275166422,1.8090455422293048,0.0031468409889078204,12.285890712589282,0.09462185513645194
SpareBank 1 SR-Bank,2018,14.72,717,98814,103485,87,1519,324,2835,6274,1227,192105,3439,2296,2229,130869,234061,21585,5445,1.53,Other,Loans in Band 3 as a % of gross loans,2018,0.009809408658426649,0.014692751034986606,0.409366391184573,0.8207475828950572,0.4221719978979839,1.944107110328496,0.0016865776528460997,12.363337044128414,0.1133036614624987
SpareBank 1 SR-Bank,2019,17,104,103106,116164,111,1516,235,3756,7743,1426,207114,3987,3124,2478,109513,255895,24834,6530,1.56,Stage3,Loans in Stage 3 as a % of gross loans,2019,0.012208132241739776,0.015580609234256238,0.37947932618683,0.8093710310869693,0.4029230739170363,2.0087482784707,0.0011346408258253908,12.452522483074619,0.07812914812212068
SpareBank 1 SR-Bank,2020,18.3,68,118170,127163,111,1501,2.03,2811,6953,2215,219181,4142,1.59,2386,121262,287049,26393,6237,1.9,Stage3,Gross loans and financial liabilities classified as Stage 3,2020,5.539123982316608e-6,0.014429592160223517,0.38255571588904924,0.7635664990994568,0.41167187483670037,1.854793940932555,9.261751702930453e-6,12.567408211876076,0.058262599341425414
SpareBank 1 SR-Bank,2021,17.4,78,137664,122276,90,1801,192,2196,6186,1721,230299,3.99,3156,2714,127112,304402,27179,6744,1.46,Stage3,Gross loans and financial liabilities classified as Stage 3,2021,0.010367868805066984,1.3107666835303317e-5,0.4024317912218268,0.7565620462414833,0.4522440719837583,1.6729064969781497,8.336988002553202e-4,12.626104475250317,0.05072519972077871
SpareBank 1 SR-Bank,2022,17.42,76,148100,135353,87,1836,5,4883,9399,1685,252957,4516,3378,2825,127529,345931,28889,7042,1.35,Stage3,Loans and financial liabilities in Stage 3 as a % of gross loans and financial liabilities.,2022,0.009764953126490544,0.013054626500660537,0.40116444191990913,0.7312354197802452,0.4281200586244078,1.7080148548278191,1.976620532343442e-5,12.75399461218734,0.09838514279263055
SpareBank 1 SR-Bank,2023,17.61,88,149076,155.37,111,2.04,-232,12378,18515,1244,272001,6136,4475,3299,146371,362186,33561,8745,1.01,Stage3,Loans and financial liabilities in Stage 3 as a % of gross loans and financial commitments,2023,0.01235553003153076,0.016941571457759274,0.37724413950829044,0.7509981059455639,0.41160066926938094,1.8245794091604282,-8.529380406689681e-4,12.799913171006338,0.07528552283589707
