Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label,year,roa,margin_proxy,cost_to_income,loans_to_assets,deposits_to_assets,loan_to_deposit,cost_of_risk,log_assets,loan_growth,country,internet_banking,internet_frequent,internet_purchases,post2020,z_banking,z_freq,z_purchases,digital_index_2,digital_index_3,gdp_growth,unemployment,inflation,policy_rate
AIB Group,2015,13,4950,63383,7001,44,449,925,1028,2955,6900,70100,1927,1380,1678,59200,103122,12148,2628,19,Impaired,Impaired loans are 19% of total gross loans,2015,0.01338220748239948,0.01868660421636508,0.6385083713850838,0.6797773510986986,0.6146409107658889,1.1059747881924176,0.01319543509272467,11.543668032304742,NA,Ireland,51.47,66.97,43.75,0,-0.16645113961900992,-0.339339780426477,0.02346471577170398,-0.25289546002274343,-0.16077540142459432,24.6,9.9,0,-0.2063013698630137
AIB Group,2016,15.3,6519,63502,6880,35,430,294,598,2611,4589,65228,2013,1356,1571,54200,95622,13148,2919,14,Other,Total % of total gross loans,2016,0.0141808370458681,0.02105164083579092,0.538198013018157,0.6821442764217439,0.6640940369371066,1.0271802462914554,0.00450726681793095,11.46815819808769,-0.06950071326676177,Ireland,52.34,69.57,41.35,0,-0.22618752564807704,-0.38153068238798665,-0.23463138863961663,-0.30385910401803184,-0.28078319889189346,1.2,8.4,-0.2,-0.3795081967213115
AIB Group,2017,17.5,6364,64572,4590,45,436,113,305,2481,3345,63338,2176,1114,1835,51823,90062,13612,3001,16,Other,Total non performing loans / Total loans (%),2017,0.01236925673424974,0.02416113344140703,0.611462845718094,0.7032710799227199,0.716972752104106,0.9808895496500032,0.00178407906785815,11.408253601026258,-0.02897528668669891,Ireland,57.64,70.18,44.38,0,-0.12424754224787923,-0.5063567652527147,-0.2376776918062964,-0.31530215375029697,-0.2894273331022968,10.1,6.7,0.3,-0.4
AIB Group,2018,17.5,6516,67699,5745,41,498,204,266,2366,2039,62907,2100,1092,1823,51439,91536,13858,2874,10,NPL,Total non-performing loans/ Total loans (%),2018,0.01192973256423702,0.0229417933927635,0.6343075852470424,0.6872378080755113,0.7395887956650935,0.929216088863942,0.00324288235013591,11.42448761650831,-0.00680476175439703,Ireland,57.67,73.84,52.06,0,-0.19321970229321023,-0.43745465140646456,0.12821357100958497,-0.3153371768498374,-0.16748692756336328,7.7,5.8,0.7,-0.4
AIB Group,2019,17.3,11982,71803,6831,71,543,-16,294,2370,1238,62126,2076,364,2181,51999,98562,14230,2655,5.4,NPL,Non-performing loans ratio,2019,0.00369310687688967,0.02106288427588725,0.8214689265536723,0.630324059982549,0.7285059150585418,0.8652284723479521,-2.575411260985739e-4,11.498441070769257,-0.01241515252674585,Ireland,67.39,82.51,59.19,0,0.08486472396584277,0.0893775239218024,0.3429674688142589,0.08712112394382258,0.1724032389006347,5,5,0.9,-0.42876712328767125
AIB Group,2020,15.6,25550,81972,5450,169,564,-1460,255,2127,-2510,59455,1872,-741,1859,52579,110385,13421,2373,7.3,NPL,Total non-performing loans/Total loans (%),2020,-0.00671286859627666,0.01695882592743579,0.7833965444584914,0.5386148480318884,0.7426008968609865,0.7253086419753086,-0.02455638718358422,11.61172953402881,-0.04299327173808065,Ireland,68.99,83.72,64.05,1,0.02578294398019631,-0.0725627469277058,0.3376760405722377,-0.02338990147375474,0.09696541254157608,7.2,5.9,-0.5,-0.5
AIB Group,2021,16.6,42654,92866,5819,160,640,238,290,2084,-1885,58393,1794,645,2006,52358,127875,13660,2379,5.4,NPL,Non-performing loans ratio,2021,0.00504398826979472,0.01402932551319648,0.8432114333753677,0.4566412512218963,0.7262248289345064,0.6287877156332781,0.00407583100714126,11.758808503253928,-0.0178622487595661,Ireland,76.87,94.65,78.82,1,0.3143069275740004,1.11833546603423,0.9574107625447962,0.7163211968041152,0.7966843853843422,16.3,6.2,2.4,-0.5
AIB Group,2022,16.3,38138,102400,7200,177,765,-7,353,2512,1618,61231,2159,765,2063,55333,129752,12261,2913,3.5,NPL,Non-performing loans as a % of total loans and advances to customers,2022,0.0058958628768728,0.01663943523028547,0.7082046000686577,0.4719079474690178,0.7891978543683335,0.597958984375,-1.1432117718149303e-4,11.773380215167526,0.04860171595910478,Ireland,82.87,89.8,74.45,1,0.5562058401312239,0.388376348771642,0.8145583273042211,0.4722910944514329,0.5863801720690289,7.5,4.5,8.1,0.011643835616438355
AIB Group,2023,15.8,38018,104782,8423,173,806,-172,804,4645,-1520,67011,3841,2058,2142,59463,136349,15077,4722,3,NPL,Non-performing loans as a % of total loans and advances to customers,2023,0.01509362004855187,0.02817035695164614,0.4536213468869123,0.49146675076458207,0.7684838172630529,0.6395277814891871,-0.00256674277357448,11.8229730541801,0.09439662915843285,Ireland,83.77,90.93,80.49,1,0.48961642414030304,0.30074504942895014,1.0822984050608369,0.3951807367846266,0.6242199595433633,-2.5,4.3,5.2,3.3075342465753423
AIB Group,2024,15.1,37315,109883,8832,164,845,-55,1247,5376,-1344,71233,4129,2351,2195,62030,141266,15437,4928,2.7,Stage3,Computed: Stage 3 loans / Total gross loans (amortised cost),2024,0.01664236263502895,0.02922854756275395,0.445413961038961,0.5042473064997948,0.7778446335282375,0.6482622425670941,-7.721140482641472e-4,11.858399916929915,0.06300458133739228,Ireland,86.71,98.26,85.94,1,0.5689141644856479,1.431998207955633,1.3617871773297283,1.0004561862206405,1.1208998499236698,2.6,4.3,1.3,3.73224043715847
BBVA,2015,NA,43467,403069,66165,1729,6340,-4272,8761,24783,NA,NA,16022,2642,10836,NA,750078,55439,23362,NA,NA,NA,2015,0.00352230034743053,0.0213604451803679,0.46383015152812257,NA,0.5373694469108546,NA,NA,13.527932480104868,NA,Spain,39.37,64.25,32.07,0,-0.6336226421381849,-0.5516251277432639,-0.6591952056392227,-0.5926238849407244,-0.6148143251735572,4.1,22.1,-0.6,-0.2063013698630137
