Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label
AIB Group,2016,15.3,6519,63502,6880,35,430,294,598,2611,4589,65228,2013,1356,1571,54200,95622,13148,2919,14,Other,Total % of total gross loans
AIB Group,2017,17.5,6364,64572,4590,45,436,113,305,2481,3345,63338,2176,1114,1835,51823,90062,13612,3001,16,Other,Total non performing loans / Total loans (%)
AIB Group,2018,17.5,6516,67699,5745,41,498,204,266,2366,2039,62907,2100,1092,1823,51439,91536,13858,2874,10,NPL,Total non-performing loans/ Total loans (%)
AIB Group,2019,17.3,11982,71803,6831,71,543,-16,294,2370,1238,62126,2076,364,2181,51999,98562,14230,2655,5.4,NPL,Non-performing loans ratio
AIB Group,2020,15.6,25550,81972,5450,169,564,-1460,255,2127,-2510,59455,1872,-741,1859,52579,110385,13421,2373,7.3,NPL,Total non-performing loans/Total loans (%)
AIB Group,2021,16.6,42654,92866,5819,160,640,238,290,2084,-1885,58393,1794,645,2006,52358,127875,13660,2379,5.4,NPL,Non-performing loans ratio
AIB Group,2022,16.3,38138,102400,7200,177,765,-7,353,2512,1618,61231,2159,765,2063,55333,129752,12261,2913,3.5,NPL,Non-performing loans as a % of total loans and advances to customers
AIB Group,2023,15.8,38018,104782,8423,173,806,-172,804,4645,-1520,67011,3841,2058,2142,59463,136349,15077,4722,3,NPL,Non-performing loans as a % of total loans and advances to customers
AIB Group,2024,15.1,37315,109883,8832,164,845,-55,1247,5376,-1344,71233,4129,2351,2195,62030,141266,15437,4928,2.7,Stage3,Computed: Stage 3 loans / Total gross loans (amortised cost)
BBVA,2015,NA,43467,403069,66165,1729,6340,-4272,8761,24783,NA,NA,16022,2642,10836,NA,750078,55439,23362,NA,NA,NA
BBVA,2016,NA,43184,401465,74581,2086,6804,-3835,10648,27708,-9428,NA,17059,3475,10323,NA,731856,55428,24655,6.8,NPL,Non-performing loans and advances as a % of the total
BBVA,2017,11.7,42680,376379,63915,2229,7150,-4803,11537,29296,-6950,400369,17758,3519,11112,361686,690059,53283,25270,5.4,NPL,Non-performing loans and advances as a % of the total
BBVA,2018,11.6,58196,375970,61112,2253,7132,-3981,12239,29831,12493,386225,17591,5324,11702,348254,676689,52874,23747,3.9,NPL,NPL ratio (%)
BBVA,2019,11.98,44303,384219,63963,2489,7522,-4151,12859,31061,-12427,394763,18202,3512,11902,364448,698690,54925,24542,3.8,NPL,NPL ratio
BBVA,2020,11.73,65520,409122,61780,1857,5980,-5179,7797,22389,-13133,378139,14592,1305,10755,364448,736176,50020,20166,4,NPL,NPL ratio
BBVA,2021,12.75,67799,349761,55763,2232,6997,-3034,8329,23015,-11116,330055,14686,4653,9530,307331,662885,48760,21066,4.1,NPL,NPL ratio (%)
BBVA,2022,12.61,79756,393856,55429,2907,8261,-3379,12279,31432,11764,369260,19153,6420,10760,336920,713140,50615,24890,3.4,NPL,NPL Ratio
BBVA,2023,12.67,75416,413487,77750,3611,9899,-4428,24761,47850,11762,388912,23089,8019,12309,363916,775558,55265,29542,3.4,NPL,NPL ratio
BBVA,2024,12.84,51145,447646,69867,5048,13036,-5745,36392,61659,11905,424087,25267,10575,12660,370165,772402,60014,35481,3.3,NPL,NPL ratio
BNP Paribas,2015,11,134547,700309,159447,5720,13335,-3797,18828,41381,27676,708691,22553,7044,29254,629626,1994193,100077,42938,NA,NA,NA
BNP Paribas,2016,11.6,160400,765953,153422,5563,12765,-3262,18518,40894,28475,739278,22376,8115,29378,638207,2076959,105220,43411,3.8,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2017,11.9,178446,766890,148156,5777,13231,-2907,19011,40785,25999,752361,21774,8207,29944,640644,1960252,107209,43161,3.3,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2018,11.8,185119,796548,151451,3718,12925,-2764,14661,35723,25980,789952,21062,8005,30583,647001,2040836,105726,42516,2.6,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2019,12.1,155135,834667,157578,3900,13265,-3203,16200,37327,23040,826953,21127,8583,31337,668828,2164713,111845,44597,2.2,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2020,12.8,308703,940991,148303,3737,13599,-5717,12277,33589,23452,830979,21312,7415,30194,695523,2488491,117349,44275,2.1,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2021,12.89,347883,957684,149723,4675,15037,-2971,10280,29518,21959,833935,19238,9880,29466,713671,2634444,122507,43762,2,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2022,12.33,318560,1008054,154143,4444,14622,-3004,20251,41082,20245,875301,20831,10597,31695,744851,2666376,126555,47631,1.7,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2023,13.2,288259,988549,191482,5190,15011,-2907,60484,79542,19264,876712,19058,11406,30956,703694,2591499,128867,45874,1.7,Other,DOUBTFUL LOANS(*)/LOANS(**)
BNP Paribas,2024,12.87,182496,1034857,198119,5495,16196,-2999,63496,83020,18514,917049,19524,12187,30193,762247,2704908,134141,48831,1.6,Other,DOUBTFUL LOANS /LOANS
Banca Transilvania,2015,16.7,4997.93,38301.741,416.424,116.031,603.085,-797.514,464.802,2416.977,-2786.701,28012.315,1952.175,2448.761,1401.326,27587.989,47579.092,6240.813,2854.15,NA,Other,Not found
Banca Transilvania,2016,17.99,5293.66,41681.475,414.845,106.629,652.9,-1027.514,263.533,2027.566,-2243.865,29477.91,1764.033,1277.013,1913.665,NA,51735.268,6153.728,2972.502,NA,NA,NA
Banca Transilvania,2017,18.37,6637.725,48932.195,414.578,143.8,744.313,-29.221,211.802,2102.621,-1824.511,31896.727,1890.819,1242.468,1447.97,33062.167,59804.969,7140.112,2890.592,NA,NA,NA
Banca Transilvania,2018,16.4,10322.121,65160.466,1655.377,252.233,1029.941,-364.421,432.5,3182.049,-2673.308,40490.392,2749.549,1260.68,2398.712,46104.519,77896.754,7880.073,3945.463,NA,NA,NA
Banca Transilvania,2019,17.04,11391.107,77037.06,1700.207,327.638,1147.939,-292.646,580.647,3654.392,-2781.031,43134.878,3073.745,1847.893,2483.403,51581.043,91722.281,9213.836,4614.986,NA,NA,NA
Banca Transilvania,2020,18.37,22133.211,90942.415,1667.761,375.479,1151.94,-865.84,683.332,3660.425,-3498.298,44286.658,2977.093,1424.078,2915.204,57543.951,107492.397,10414.358,4537.632,NA,NA,NA
Banca Transilvania,2021,22.5,18320.913,108021.629,7929.5,471.518,1432.875,-385.844,553.634,3695.753,-3935.719,58459.285,3142.119,2024.533,2638.616,51728.52,132501.19,10564.134,4934.037,NA,NA,NA
Banca Transilvania,2022,NA,14540.717,119731.729,4840.928,613.492,1781.324,-553.162,1602.95,5769.63,NA,NA,4426.659,2488.417,2983.748,NA,140510.795,8918.866,6279.956,NA,NA,NA
Banca Transilvania,2023,NA,24252.6,138052.954,9548.567,774.686,2058.966,-420.716,3579.328,8432.799,NA,NA,5213.58,2984.501,3523.631,NA,169169.225,13224.262,7742.682,NA,NA,NA
Banca Transilvania,2024,NA,21950.258,167827.766,12237.715,1027.277,2515.108,-657.077,4323.348,10692.264,NA,NA,6907.762,4731.969,4863.28,NA,207031.042,16628.874,10067.765,NA,NA,NA
Banco Comercial Português,2015,13.3,1840.317,51538.583,4768.269,109.598,802.46,-833.024,1014.526,2316.101,-3468.084,55438.243,1301.575,235.344,1106.526,43315.42,74884.879,5680.571,2510.159,6.6,Other,GROUP [Main Credit Risk Indicators]
Banco Comercial Português,2016,12.4,1573.912,48797.647,3512.82,100.021,743.855,-1116.916,679.871,1909.997,-3740.851,51758.453,1230.126,23.938,779.996,39159.79,71264.811,5265.181,2022.46,10.9,Other,Credit at risk Total loans
Banco Comercial Português,2017,13.2,2167.934,51188,3820.302,114.517,781.214,-623.708,522.935,1914.21,-3321.931,50955.423,1391.275,186.391,954.181,40171.114,71939,5931.851,2101.708,15,NPE,Non-performing exposures / Loans and advances to customers (*)
